Year,GOOGL,AAPL,MSFT,AMZN
2023,$1.653 T,$2.909 T,$2.473 T,$1.464 T
2022,$1.145 T,$2.066 T,$1.787 T,$856.94 B
2021,$1.917 T,$2.901 T,$2.522 T,$1.691 T
2020,$1.185 T,$2.255 T,$1.681 T,$1.634 T
2019,$921.13 B,$1.287 T,$1.200 T,$920.22 B
2018,$723.55 B,$746.07 B,$780.36 B,$737.46 B
2017,$729.45 B,$860.88 B,$659.90 B,$563.53 B
2016,$539.06 B,$608.96 B,$483.16 B,$356.31 B
2015,$528.16 B,$583.61 B,$439.67 B,$318.34 B
2014,$359.50 B,$643.12 B,$381.72 B,$144.31 B
2013,,$500.74 B,$310.50 B,$183.04 B
2012,,$499.69 B,$223.66 B,$113.89 B
2010,,$377.51 B,$218.38 B,$78.71 B
2009,,$297.09 B,$234.52 B,$81.18 B
2008,,$190.98 B,$268.55 B,$59.72 B
2007,,$75.99 B,$172.92 B,$21.99 B
2006,,$174.03 B,$332.11 B,$38.53 B
2005,,$72.98 B,$291.94 B,$16.33 B
2004,,$60.79 B,$271.54 B,$19.61 B
2003,,$26.05 B,$290.71 B,$18.14 B
2001,,$7.88 B,$295.29 B,$21.22 B
2000,,$5.16 B,$276.63 B,$7.32 B
1999,,$7.71 B,$358.05 B,$4.03 B
1998,,,,
1997,,,,
